name,path,,age,belief.in.god,condition_number,contribution,correct.crt.answers,country.of.residence..232.us.,datelastaction,datestarted,decision.time,education,failed.comprehension,faith_in_int,female,how.much.do.you.trust.people.in.your.life,id,income,intuitive.crt.answers,ipaddress,length.of.priming.paragraph,need_for_cog,normalized.contribution,obeyed.time.constraint...1.if.from.condition.without.time.constraint.,physical.lab,prediction.of.others.mean.contribution,previous.experience.w.econ.games..1.none.,primed.for.intuition,primed.for.reflection,priming.paragraph,risk.taking,social.risk.taking,strategy.description,time.delay,time.pressure,time.reading.instructions,time_pred,txtorg_id,us.resident,what.cont.maximizes.group.payoff,what.cont.maximizes.your.payoff
,,1,22,2,8,0,na,232,40641.74028,40641.73681,18,attended college,0,na,0,4,7,"$5,000 or less",na,128.103.240.66,na,na,0,1,1,50,na,0,0,,4,na,to maximize my personal earnings,1,0,na,24,fc2f1084-7590-11e2-b1fd-88532e617cea,1,400,0
,,2,20,10,8,0,na,232,40641.74097,40641.73681,62,attended college,0,na,0,5,10,"$5,000 or less",na,128.103.240.54,na,na,0,1,1,250,na,0,0,,8,na,i could not trust that the other group members would be willing to contribute so i had to take the sure money.,1,0,na,50,fc3609a2-7590-11e2-b1fd-88532e617cea,1,400,0
,,3,18,1,8,400,na,232,40641.74028,40641.73681,39,high school diploma,0,na,1,4,11,"$10,001 to $15,000",na,128.103.240.108,na,na,1,1,1,392,na,0,0,,6,na,benefits the group the most,1,0,na,47,fc37f6e0-7590-11e2-b1fd-88532e617cea,1,400,0
,,4,21,1,8,0,na,232,40641.74167,40641.7375,69,attended college,1,na,1,4,12,"$5,000 or less",na,128.103.240.94,na,na,0,1,1,130,na,0,0,,2,na,"i felt like the others were probably going to contribute some money into the pot, so i would gain more by not adding money into the pot",1,0,na,49,fc396b60-7590-11e2-b1fd-88532e617cea,1,400,100
,,5,18,7,8,400,na,232,40641.74167,40641.73819,18,high school diploma,1,na,0,6,14,"$5,000 or less",na,128.103.240.52,na,na,1,1,1,300,na,0,0,,4,na,"i am banking on the fact that people will be less selfish and will help the overall payoff of the group. however, if people are somewhat selfish, it is possible, though somewhat unlikely, for me to lose out on my original amount",1,0,na,21,fc3aa39a-7590-11e2-b1fd-88532e617cea,1,400,2
,,6,21,3,8,300,na,232,40641.74931,40641.74583,15,bachelor's degree,0,na,1,8,17,"$5,000 or less",na,128.103.240.94,na,na,0.75,1,1,300,na,0,0,,4,na,"overall, i trusted that most people would do what was beneficial for the group as a whole, but i wanted a small cushion to protect myself if that was not the case so i reserved $1 that i did not gamble.",1,0,na,23,fc3b8fda-7590-11e2-b1fd-88532e617cea,1,400,0
,,7,23,8,8,400,na,232,40641.74931,40641.74653,11,bachelor's degree,1,na,1,8,23,"$10,001 to $15,000",na,128.103.240.66,na,na,1,1,1,350,na,0,0,,2,na,it would ensure the benefit the group as a whole more if everyone contributed the full amount,1,0,na,34,fc3c5104-7590-11e2-b1fd-88532e617cea,1,400,2
,,9,22,5,8,200,na,232,40641.75139,40641.74722,27,attended college,0,na,1,6,27,"$10,001 to $15,000",na,128.103.240.108,na,na,0.5,1,1,200,na,0,0,,2,na,seemed sensible enough. there was a low risk and all could get something out of it.,1,0,na,30,fc3d133c-7590-11e2-b1fd-88532e617cea,1,400,0
,,10,23,1,8,250,na,232,40641.75764,40641.75486,28,graduate degree,1,na,1,4,30,"$15,001 - $25,000",na,128.103.240.69,na,na,0.625,1,1,300,na,0,0,,8,na,"i was willing to put in just over half of my money, trusting that if everyone else in my group did the same, we would all come out of the study with a little more. i wasn't willing to risk all of my money, however, just in case others did not e",1,0,na,21,fc3d804c-7590-11e2-b1fd-88532e617cea,1,386,0
,,11,22,1,8,0,na,232,40641.75833,40641.75486,11,attended college,0,na,0,5,31,"$25,001 - $35,000",na,128.103.240.86,na,na,0,1,1,100,na,0,0,,3,na,i take a humanistic approach to situations. it's rational to maximize your own earnings.,1,0,na,15,fc3dfc34-7590-11e2-b1fd-88532e617cea,1,400,0
